movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt2582802,Whiplash,Damien Chazelle,Miles Teller J.K. Simmons Melissa Benoist Paul Reiser,Drama/ Music,106,15,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,0.7891,3,3,7,drinking
tt3170832,Room,Lenny Abrahamson,Brie Larson Jacob Tremblay Sean Bridgers Wendy Crewson,Drama/ Thriller,118,15,Held captive for 7 years in an enclosed space/ a woman and her young son finally gain their freedom/ allowing the boy to experience the outside world for the first time.,0.7971,3,3,1,no alcohol or smoking
tt5052448,Get Out,Jordan Peele,Daniel Kaluuya Allison Williams Bradley Whitford Catherine Keener,Horror/ Mystery/ Thriller,104,15,A young African-American visits his white girlfriend's parents for the weekend/ where his simmering uneasiness about their reception of him eventually reaches a boiling point.,0.8114,3,3,4,smoking and drinking
tt0208092,Snatch,Guy Ritchie,Jason Statham Brad Pitt Benicio Del Toro Dennis Farina,Comedy/ Crime,104,18,Unscrupulous boxing promoters/ violent bookmakers/ a Russian gangster/ incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.,0.8084,3,0,6,smoking and drinking
tt7939766,I'm Thinking of Ending Things,Charlie Kaufman,Jesse Plemons Jessie Buckley Toni Collette David Thewlis,Drama/ Thriller,134,18,Full of misgivings/ a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving/ she comes to question everything she thought she knew about him/ and herself.,0.5427,0,3,3,smoking and drinking
tt0081505,The Shining,Stanley Kubrick,Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers,Drama/ Horror,146,(Banned),A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence/ while his psychic son sees horrific forebodings from both past and future.,0.7813,3,3,4,smoking and drinking
tt3397884,Sicario,Denis Villeneuve,Emily Blunt Josh Brolin Benicio Del Toro Jon Bernthal,Action/ Crime/ Drama,121,18,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,0.8381,3,3,0,smoking and drinking
tt8244784,The Hunt,Craig Zobel,Betty Gilpin Hilary Swank Ike Barinholtz Wayne Duvall,Action/ Horror/ Thriller,90,18,Twelve strangers wake up in a clearing. They don't know where they are/ or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.,0.8022,1,3,2,drinking
tt0088247,The Terminator,James Cameron,Arnold Schwarzenegger Linda Hamilton Michael Biehn Paul Winfield,Action/ Sci-Fi,107,18,A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine/ sent from the same year/ which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.,0.8175,3,3,1,smoking and drinking
tt1502397,Bad Boys for Life,Adil El Arbi Bilall Fallah,Will Smith Martin Lawrence Vanessa Hudgens Alexander Ludwig,Action/ Comedy/ Crime,124,18,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,0.799,1,0,8,drinking
